IP address,Port,Epoch,JARM fingerprint,AS number,First seen
46.41.130[.]218,8080,5,,12824,2022-02-23 07:56:28 UTC
135.148.121[.]246,8080,4,,16276,2022-02-22 21:08:28 UTC
213.190.4[.]223,7080,4,,47583,2022-02-22 21:08:28 UTC
209.126.98[.]206,8080,4,,30083,2022-02-22 21:08:28 UTC
27.254.174[.]84,8080,5,,9891,2022-02-22 20:44:05 UTC
61.7.231[.]229,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,9931,2022-02-22 20:44:05 UTC
45.71.195[.]104,8080,5,,267642,2022-02-22 20:44:05 UTC
61.7.231[.]226,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,9931,2022-02-22 20:44:05 UTC
68.183.93[.]250,443,5,21d19d00000000021c21d19d21d21db2e1191a3715fa469c667680e6cfab7f,14061,2022-02-22 20:44:05 UTC
93.104.209[.]107,8080,5,,8767,2022-02-22 20:44:05 UTC
175.107.196[.]192,80,4,,24440,2022-02-22 16:48:53 UTC
156.67.219[.]84,7080,4,,47583,2022-02-22 16:48:53 UTC
50.30.40[.]196,8080,4,,30083,2022-02-22 16:48:53 UTC
103.134.85[.]85,80,4,,139943,2022-02-22 16:48:53 UTC
198.199.126[.]144,443,5,2ad2ad16d2ad2ad22c2ad2ad2ad2ad161f6f8e71099c0cdf39201b72c92a2b,14061,2022-02-08 21:45:18 UTC
185.248.140[.]40,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,48314,2022-02-07 23:04:47 UTC
103.42.57[.]17,8080,5,,45899,2022-02-07 21:28:19 UTC
31.24.158[.]56,8080,4,,50926,2022-02-07 16:14:34 UTC
153.126.203[.]229,8080,4,,7684,2022-02-07 16:14:34 UTC
8.9.11[.]48,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,20473,2022-02-07 16:14:34 UTC
192.95.56[.]148,8080,4,,16276,2022-02-03 15:27:53 UTC
51.254.140[.]238,7080,4,,16276,2022-02-03 15:27:53 UTC
144.76.186[.]55,7080,4,,24940,2022-02-03 15:27:53 UTC
82.165.152[.]127,8080,4,,8560,2022-02-03 15:27:53 UTC
178.128.83[.]165,80,4,,14061,2022-02-03 15:27:53 UTC
119.235.255[.]201,8080,4,,45146,2022-02-03 15:27:53 UTC
45.79.173[.]200,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,63949,2022-02-03 15:27:53 UTC
174.136.15[.]27,8080,5,,62729,2022-02-03 02:58:31 UTC
185.122.58[.]89,443,5,05d10d20d21d20d05c05d10d05d20d74fcf6501ae7a92319e575bfafd2a827,7489,2022-02-03 02:58:31 UTC
93.104.208[.]37,8080,5,,8767,2022-02-03 02:58:31 UTC
172.105.115[.]71,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,63949,2022-02-02 23:47:21 UTC
185.184.25[.]78,8080,5,,209711,2022-02-02 23:47:21 UTC
54.37.106[.]167,8080,5,,16276,2022-02-02 23:47:21 UTC
23.246.204[.]126,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,36351,2022-02-02 15:39:50 UTC
149.56.163[.]161,8080,4,,16276,2022-02-02 15:39:50 UTC
103.75.201[.]4,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,133496,2022-02-01 18:43:36 UTC
149.202.179[.]100,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,16276,2022-02-01 18:43:36 UTC
173.203.78[.]138,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,19994,2022-01-31 17:37:33 UTC
144.76.186[.]49,8080,4,,24940,2022-01-31 16:36:54 UTC
198.199.98[.]78,8080,5,,14061,2022-01-28 15:58:12 UTC
103.41.204[.]169,8080,5,,58397,2022-01-28 15:58:12 UTC
139.196.72[.]155,8080,5,,37963,2022-01-28 15:58:12 UTC
74.207.230[.]120,8080,5,,63949,2022-01-28 15:58:12 UTC
160.16.102[.]168,80,4,,9370,2022-01-27 15:21:51 UTC
159.89.230[.]105,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,14061,2022-01-27 15:21:51 UTC
159.8.59[.]82,8080,4,,36351,2022-01-27 11:02:39 UTC
51.15.4[.]22,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,12876,2022-01-27 11:02:39 UTC
173.214.173[.]220,8080,4,,19318,2022-01-27 11:02:39 UTC
185.157.82[.]209,8080,4,,42927,2022-01-27 11:02:39 UTC
200.17.134[.]35,7080,4,,1916,2022-01-26 15:26:31 UTC
129.232.188[.]93,443,4,15d2ad16d29d29d00015d2ad15d29d67edd16014aa8d87eb613c543d04cbe2,37153,2022-01-26 15:26:31 UTC
188.40.137[.]206,8080,4,,24940,2022-01-26 15:26:31 UTC
89.32.148[.]223,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,43927,2022-01-26 15:26:31 UTC
118.98.72[.]86,443,5,,7713,2022-01-26 09:06:34 UTC
194.9.172[.]107,8080,5,,207992,2022-01-26 09:06:34 UTC
159.69.43[.]124,8080,5,,24940,2022-01-26 09:06:34 UTC
45.79.80[.]198,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,63949,2022-01-26 09:06:34 UTC
45.13.132[.]26,8080,5,,47583,2022-01-26 09:06:34 UTC
59.148.253[.]194,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,9269,2022-01-25 17:11:03 UTC
203.153.216[.]46,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,45291,2022-01-25 17:11:03 UTC
185.244.166[.]137,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,200303,2022-01-25 17:11:03 UTC
185.168.130[.]138,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,49720,2022-01-25 17:11:03 UTC
85.25.120[.]45,8080,5,,8972,2022-01-25 17:11:03 UTC
69.197.160[.]180,8080,4,,32097,2022-01-25 07:18:07 UTC
51.77.82[.]125,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,16276,2022-01-25 07:18:07 UTC
185.157.82[.]211,8080,4,,42927,2022-01-24 17:50:23 UTC
164.68.99[.]3,8080,4,,51167,2022-01-24 17:50:23 UTC
162.243.175[.]63,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,14061,2022-01-24 17:50:23 UTC
212.24.98[.]99,8080,4,,212531,2022-01-24 17:50:23 UTC
45.80.148[.]200,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,204641,2022-01-24 17:50:23 UTC
80.211.3[.]13,8080,4,,31034,2022-01-24 17:50:23 UTC
191.252.103[.]16,80,5,,27715,2022-01-21 10:55:38 UTC
207.148.81[.]119,8080,5,,20473,2022-01-21 10:55:38 UTC
37.44.244[.]177,8080,5,,47583,2022-01-21 10:55:38 UTC
210.57.209[.]142,8080,5,,38142,2022-01-21 10:55:38 UTC
37.59.209[.]141,8080,5,,16276,2022-01-21 10:55:38 UTC
159.69.237[.]188,443,5,,24940,2022-01-21 10:55:38 UTC
