IP address,Port,Epoch,JARM fingerprint,AS number,First seen
104.168.155[.]143,8080,4,,54290,2022-06-30 20:11:05 UTC
43.129.209[.]178,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,132203,2022-06-28 13:34:37 UTC
139.59.80[.]108,8080,5,,14061,2022-06-28 13:34:37 UTC
83.229.80[.]93,8080,5,,25052,2022-06-28 13:34:37 UTC
188.165.79[.]151,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,16276,2022-06-28 13:34:37 UTC
139.59.126[.]41,443,4,,14061,2022-06-27 23:01:35 UTC
213.239.212[.]5,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,24940,2022-06-27 23:01:35 UTC
45.55.191[.]130,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,14061,2022-06-27 23:01:35 UTC
173.239.37[.]178,8080,4,,27257,2022-06-24 20:34:50 UTC
37.187.114[.]15,8080,5,,16276,2022-06-20 10:42:11 UTC
46.101.234[.]246,8080,5,,14061,2022-06-20 10:42:11 UTC
45.76.181[.]158,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,20473,2022-06-20 08:16:18 UTC
139.162.113[.]169,8080,4,,63949,2022-06-16 00:03:25 UTC
135.148.6[.]80,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,16276,2022-06-16 00:03:25 UTC
128.199.242[.]164,8080,5,,14061,2022-06-14 06:17:12 UTC
190.107.19[.]179,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,27951,2022-06-14 06:17:12 UTC
46.101.98[.]60,8080,5,,14061,2022-06-14 06:17:12 UTC
190.145.8[.]4,443,5,,14080,2022-06-14 06:17:12 UTC
167.86.75[.]145,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,51167,2022-06-14 06:17:12 UTC
144.91.78[.]55,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,51167,2022-06-13 22:08:24 UTC
172.105.226[.]75,8080,4,,63949,2022-06-13 22:08:24 UTC
152.136.229[.]39,8080,4,,45090,2022-06-09 14:08:26 UTC
173.82.82[.]196,8080,4,,35916,2022-06-09 14:08:26 UTC
198.199.70[.]22,8080,5,,14061,2022-06-08 20:24:47 UTC
165.22.254[.]68,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,14061,2022-06-08 20:24:47 UTC
51.161.73[.]194,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,16276,2022-06-08 09:38:02 UTC
64.227.100[.]222,8080,4,,14061,2022-06-08 09:38:02 UTC
165.22.254[.]236,8080,5,,14061,2022-06-06 21:37:00 UTC
212.83.184[.]188,8080,5,,12876,2022-06-06 21:37:00 UTC
173.249.25[.]219,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,51167,2022-06-06 21:37:00 UTC
45.186.16[.]18,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,269468,2022-06-06 18:30:45 UTC
207.148.79[.]14,8080,4,,20473,2022-06-06 18:30:45 UTC
31.22.4[.]160,8080,4,,34119,2022-06-06 18:30:45 UTC
104.244.79[.]94,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,53667,2022-06-06 10:56:13 UTC
103.254.12[.]236,7080,5,,131428,2022-06-06 10:56:13 UTC
157.245.111[.]0,8080,5,,14061,2022-06-06 10:56:13 UTC
64.227.55[.]231,8080,5,,14061,2022-06-06 10:56:13 UTC
128.199.217[.]206,443,5,15d3fd16d29d29d00042d43d000000fbc10435df141b3459e26f69e76d5947,14061,2022-06-06 10:56:13 UTC
103.126.216[.]86,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,134806,2022-06-06 10:56:13 UTC
157.230.99[.]206,8080,5,,14061,2022-06-06 10:56:13 UTC
103.224.241[.]74,8080,5,,133296,2022-06-03 22:39:48 UTC
103.71.99[.]57,8080,5,,135682,2022-06-03 22:39:48 UTC
165.232.185[.]110,8080,5,,14061,2022-06-03 22:39:48 UTC
159.89.202[.]34,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,14061,2022-06-03 13:52:17 UTC
37.187.115[.]122,8080,4,,16276,2022-06-03 13:52:17 UTC
107.170.39[.]149,8080,4,,14061,2022-06-03 13:52:17 UTC
186.194.240[.]217,443,4,05d10d20d21d20d05c05d10d05d20d74fcf6501ae7a92319e575bfafd2a827,28198,2022-06-03 13:52:17 UTC
82.223.21[.]224,8080,4,,8560,2022-06-03 13:52:17 UTC
